UMAP1	UMAP2	SeuratCluster	orig_ident	timepoint
batch1.U2hESC_70	-2.71444988250732	10.9882535934448	7	batch1.U2hESC	U2hESC
batch1.U2hESC_71	-5.87155151367188	9.85537147521973	7	batch1.U2hESC	U2hESC
batch1.U2hESC_72	-1.18339931964874	8.85020065307617	7	batch1.U2hESC	U2hESC
batch1.U2hESC_73	-1.4954971075058	7.41836833953857	7	batch1.U2hESC	U2hESC
batch1.U2hESC_74	-9.72917556762695	5.05732440948486	4	batch1.U2hESC	U2hESC
batch1.U2hESC_75	4.16661977767944	5.9697093963623	14	batch1.U2hESC	U2hESC
batch1.U2hESC_76	-2.01975607872009	8.67358493804932	7	batch1.U2hESC	U2hESC
batch1.U2hESC_77	-3.22400307655334	9.5337963104248	7	batch1.U2hESC	U2hESC
batch1.U2hESC_78	-4.01237392425537	10.1865205764771	7	batch1.U2hESC	U2hESC
batch1.U2hESC_79	-10.6158027648926	3.83353447914124	4	batch1.U2hESC	U2hESC
batch1.U2hESC_80	-13.1125211715698	2.39789247512817	4	batch1.U2hESC	U2hESC
batch1.U2hESC_81	-1.24121594429016	7.89693880081177	7	batch1.U2hESC	U2hESC
batch1.U2hESC_82	-4.65281867980957	10.8349466323853	7	batch1.U2hESC	U2hESC
batch1.U2hESC_83	-12.5698080062866	3.85564494132996	4	batch1.U2hESC	U2hESC
batch1.U2hESC_84	-3.44656109809875	8.07216930389404	7	batch1.U2hESC	U2hESC
batch1.U2hESC_85	-11.9639978408813	4.74544048309326	4	batch1.U2hESC	U2hESC
batch1.U2hESC_86	-0.863871276378632	7.06471252441406	7	batch1.U2hESC	U2hESC
batch1.U2hESC_87	-1.03311896324158	9.57908916473389	7	batch1.U2hESC	U2hESC
batch1.U2hESC_88	-3.98011803627014	10.0595064163208	7	batch1.U2hESC	U2hESC
batch1.U2hESC_89	-4.98005533218384	9.35041236877441	7	batch1.U2hESC	U2hESC
batch1.U2hESC_90	-11.5133295059204	1.69118499755859	4	batch1.U2hESC	U2hESC
batch1.U2hESC_91	-12.848427772522	2.895663022995	4	batch1.U2hESC	U2hESC
batch1.U2hESC_92	-11.1584033966064	2.60900211334229	4	batch1.U2hESC	U2hESC
batch1.U2hESC_93	-11.4793748855591	2.70738840103149	4	batch1.U2hESC	U2hESC
batch1.U2hESC_94	-5.5770902633667	9.79611778259277	7	batch1.U2hESC	U2hESC
batch1.U2hESC_95	-9.05527687072754	3.16929054260254	4	batch1.U2hESC	U2hESC
batch1.U2hESC_96	-10.1607999801636	4.40654468536377	4	batch1.U2hESC	U2hESC
batch1.U2hESC_97	-13.1346139907837	3.27295565605164	4	batch1.U2hESC	U2hESC
batch1.U2hESC_98	-9.98720359802246	3.19405388832092	4	batch1.U2hESC	U2hESC
batch1.U2hESC_99	-8.70773887634277	3.41003894805908	4	batch1.U2hESC	U2hESC
batch1.U2hESC_100	-5.45491456985474	10.704231262207	7	batch1.U2hESC	U2hESC
batch1.U2hESC_101	-10.2148494720459	2.76170086860657	4	batch1.U2hESC	U2hESC
batch1.U2hESC_102	-9.13931655883789	4.14574766159058	4	batch1.U2hESC	U2hESC
batch1.U2hESC_103	-2.44513368606567	8.50439453125	7	batch1.U2hESC	U2hESC
batch1.U2hESC_104	-12.903980255127	3.27350544929504	4	batch1.U2hESC	U2hESC
batch1.U2hESC_105	-7.86904621124268	0.502240180969238	17	batch1.U2hESC	U2hESC
batch1.U2hESC_106	-10.0130500793457	4.64381551742554	4	batch1.U2hESC	U2hESC
batch1.U2hESC_107	-10.4033536911011	3.3797881603241	4	batch1.U2hESC	U2hESC
batch1.U2hESC_108	-4.99056434631348	10.1542501449585	7	batch1.U2hESC	U2hESC
batch1.U2hESC_109	-0.220690295100212	11.1876087188721	1	batch1.U2hESC	U2hESC
batch1.U2hESC_110	-0.495735615491867	9.80931091308594	7	batch1.U2hESC	U2hESC
batch1.U2hESC_111	-11.456693649292	2.77704310417175	4	batch1.U2hESC	U2hESC
batch1.U2hESC_112	-9.67852783203125	4.30404233932495	4	batch1.U2hESC	U2hESC
batch1.U2hESC_113	-10.1893453598022	3.88179874420166	4	batch1.U2hESC	U2hESC
batch1.U2hESC_114	-11.2186222076416	3.24859666824341	4	batch1.U2hESC	U2hESC
batch1.U2hESC_115	-10.7760038375854	3.40939283370972	4	batch1.U2hESC	U2hESC
batch1.U2hESC_116	-13.0079717636108	3.36807465553284	4	batch1.U2hESC	U2hESC
batch1.U2hESC_117	-5.44565868377686	9.79067993164062	7	batch1.U2hESC	U2hESC
batch1.U2hESC_118	-2.4229257106781	8.62270069122314	7	batch1.U2hESC	U2hESC
batch1.U2hESC_119	-9.15756988525391	4.44828844070435	4	batch1.U2hESC	U2hESC
batch1.U2hESC_120	-10.9487075805664	3.15597915649414	4	batch1.U2hESC	U2hESC
batch1.U2hESC_121	-11.0030651092529	5.44330024719238	4	batch1.U2hESC	U2hESC
batch1.U2hESC_122	-10.6857776641846	3.77435350418091	4	batch1.U2hESC	U2hESC
batch1.U2hESC_123	-8.42936992645264	2.47116994857788	4	batch1.U2hESC	U2hESC
batch1.U2hESC_124	-4.78497695922852	10.3529214859009	7	batch1.U2hESC	U2hESC
batch1.U2hESC_125	-11.1618843078613	2.83092141151428	4	batch1.U2hESC	U2hESC
batch1.U2hESC_126	-2.72271704673767	8.49995517730713	7	batch1.U2hESC	U2hESC
batch1.U2hESC_127	-1.38570988178253	8.72276782989502	7	batch1.U2hESC	U2hESC
batch1.U2hESC_128	-2.57243347167969	8.42356967926025	7	batch1.U2hESC	U2hESC
batch1.U2hESC_129	-10.6152114868164	4.21703433990479	4	batch1.U2hESC	U2hESC
batch1.U2hESC_130	-12.830982208252	3.25605702400208	4	batch1.U2hESC	U2hESC
batch1.U2hESC_131	-2.51573920249939	8.02524280548096	7	batch1.U2hESC	U2hESC
batch1.U2hESC_132	-11.253589630127	4.75366115570068	4	batch1.U2hESC	U2hESC
batch1.U2hESC_133	-4.53653764724731	8.98331642150879	7	batch1.U2hESC	U2hESC
batch1.U2hESC_134	-5.15322875976562	9.9594087600708	7	batch1.U2hESC	U2hESC
batch1.U2hESC_135	-1.53220283985138	8.80127811431885	7	batch1.U2hESC	U2hESC
batch1.U2hESC_136	-2.08056116104126	9.79159545898438	7	batch1.U2hESC	U2hESC
batch1.U2hESC_137	-12.2415609359741	3.53993153572083	4	batch1.U2hESC	U2hESC
batch1.U2hESC_138	-2.61264443397522	9.89178943634033	7	batch1.U2hESC	U2hESC
batch1.U2hESC_139	-3.33535766601562	10.7130632400513	7	batch1.U2hESC	U2hESC
batch1.U2hESC_140	-2.31632924079895	8.74913024902344	7	batch1.U2hESC	U2hESC
batch1.U2hESC_141	-10.5543546676636	4.29194593429565	4	batch1.U2hESC	U2hESC
batch1.U2hESC_142	-2.32966637611389	7.58230209350586	7	batch1.U2hESC	U2hESC
batch1.U2hESC_143	-11.6640558242798	5.01802968978882	4	batch1.U2hESC	U2hESC
batch1.U2hESC_144	-12.3777198791504	3.90392065048218	4	batch1.U2hESC	U2hESC
batch1.U2hESC_145	-9.55436515808105	3.76228737831116	4	batch1.U2hESC	U2hESC
batch1.U2hESC_146	-10.2578620910645	3.27730894088745	4	batch1.U2hESC	U2hESC
batch1.U2hESC_147	-1.67586541175842	9.4859733581543	7	batch1.U2hESC	U2hESC
batch1.U2hESC_148	-0.821983754634857	11.3876514434814	1	batch1.U2hESC	U2hESC
batch1.U2hESC_149	-2.15197682380676	9.11666297912598	7	batch1.U2hESC	U2hESC
batch1.U2hESC_150	-0.315878629684448	10.748571395874	1	batch1.U2hESC	U2hESC
batch1.U2hESC_151	-10.3922424316406	4.29278612136841	4	batch1.U2hESC	U2hESC
batch1.U2hESC_152	-2.09735417366028	7.63522863388062	4	batch1.U2hESC	U2hESC
batch1.U2hESC_153	-3.35148811340332	9.42627334594727	7	batch1.U2hESC	U2hESC
batch1.U2hESC_154	-5.22663450241089	10.2049074172974	7	batch1.U2hESC	U2hESC
batch1.U2hESC_155	-1.41423773765564	8.19294548034668	7	batch1.U2hESC	U2hESC
batch1.U2hESC_156	-12.7644100189209	2.24178552627563	4	batch1.U2hESC	U2hESC
batch1.U2hESC_157	-12.4152612686157	4.82535982131958	4	batch1.U2hESC	U2hESC
batch1.U2hESC_158	-13.0913391113281	2.33239793777466	4	batch1.U2hESC	U2hESC
batch1.U2hESC_159	-11.7452764511108	3.54583787918091	4	batch1.U2hESC	U2hESC
batch1.U2hESC_160	-4.25008010864258	8.95626163482666	7	batch1.U2hESC	U2hESC
batch1.U2hESC_161	-10.5411586761475	3.77186131477356	4	batch1.U2hESC	U2hESC
batch1.U2hESC_162	-3.43226075172424	8.07795810699463	7	batch1.U2hESC	U2hESC
batch1.U2hESC_163	-10.0091209411621	3.51212954521179	4	batch1.U2hESC	U2hESC
batch1.U2hESC_164	-4.71665287017822	11.6883850097656	7	batch1.U2hESC	U2hESC
batch1.U2hESC_165	-2.41424536705017	9.60470390319824	7	batch1.U2hESC	U2hESC
batch1.U2hESC_166	-12.1099720001221	4.42788887023926	4	batch1.U2hESC	U2hESC
batch1.U2hESC_167	-0.538893938064575	11.0056886672974	1	batch1.U2hESC	U2hESC
batch1.U2hESC_168	-0.529391586780548	6.55278396606445	7	batch1.U2hESC	U2hESC
batch1.U2hESC_169	-10.1400356292725	4.30080270767212	4	batch1.U2hESC	U2hESC
batch1.U2hESC_170	-1.96743285655975	8.095290184021	7	batch1.U2hESC	U2hESC
batch1.U2hESC_171	-10.9209289550781	3.09501338005066	4	batch1.U2hESC	U2hESC
batch1.U2hESC_172	-12.3180122375488	4.05882406234741	4	batch1.U2hESC	U2hESC
batch1.U2hESC_173	-0.270370602607727	7.85433769226074	7	batch1.U2hESC	U2hESC
batch1.U2hESC_174	-11.7340860366821	4.23764944076538	4	batch1.U2hESC	U2hESC
batch1.U2hESC_175	-4.59614419937134	10.1441125869751	7	batch1.U2hESC	U2hESC
batch1.U2hESC_176	-11.4759197235107	3.29792928695679	4	batch1.U2hESC	U2hESC
batch1.U2hESC_177	-10.7105083465576	3.80533742904663	4	batch1.U2hESC	U2hESC
batch1.U2hESC_178	-1.21203708648682	8.0897912979126	7	batch1.U2hESC	U2hESC
batch1.U2hESC_179	6.93924045562744	10.0753259658813	12	batch1.U2hESC	U2hESC
batch1.U2hESC_180	-2.76270723342896	7.90141534805298	7	batch1.U2hESC	U2hESC
batch1.U2hESC_181	-8.22170162200928	0.692439258098602	17	batch1.U2hESC	U2hESC
batch1.U2hESC_182	-0.597684323787689	11.6255207061768	1	batch1.U2hESC	U2hESC
